YearBuilt,OwnerType
1940,X
1915,X
1899, 
1900,P
1900,P
1899, 
1910,P
1900,P
2003, 
1910,X
1890,P
1915, 
1890,P
1900,P
1965,P
1921,P
1890, 
1909,P
1900,P
1910,P
1900, 
1900,P
1909, 
1900,P
1900,P
1900, 
1899,P
1900, 
1900,P
2001, 
1890,P
1929, 
1899,P
1910,P
2003,P
1900,P
1987,P
1910,P
2007, 
1899, 
1911,P
2003,P
1900,P
1900,P
1925,P
1920,P
1920,P
1900,P
1900,P
1910, 
1910,P
1900, 
1900,P
1910,P
2002,P
1910,P
1910, 
1905,P
1920, 
1900,P
1901,P
1920,P
1900,P
1920,P
1915,P
1900,P
1925,C
1900,P
1900, 
1899,P
1900,P
1899, 
1899, 
2006,P
1910,P
1901,P
1920,P
1910,P
2010,P
1910, 
1920,P
1910,P
1900,P
1922,P
1900, 
1900,P
1901, 
1800, 
1901, 
1900,P
1901, 
1900, 
1899, 
1901, 
1900,P
1910,P
1900,P
1901,P
1901,P
1899,P
2006, 
1910,P
1900,P
1899,P
1900,P
1900,P
1910,P
1901,P
1981,P
2006, 
1900,P
1910,P
2006, 
2007, 
1900, 
1920,P
1899, 
1910,P
1910, 
1920, 
1899, 
1900,P
1910,C
1900,P
1974,C
1901,P
1901,P
1901,P
2001,P
1900,P
1909,P
1920,P
1909,P
1901,P
1910,P
1899, 
1920,P
1899, 
1902,P
1890, 
1910,P
1900,P
1890, 
1900, 
1900, 
1910,P
1915,P
1910, 
1899, 
1900,P
1901, 
1910,P
1920, 
1900, 
1901,P
1903,P
1900, 
1900,P
2001, 
1910, 
1910,P
1900,P
2003, 
1900, 
1901,P
1929, 
2003, 
1901,P
1901,P
1890,P
1900,P
1900, 
1920, 
1910,P
1890, 
1900, 
1981,P
2003, 
1905, 
1900, 
1910,P
1901,P
1900,P
2008, 
1899, 
1901,P
1915,P
1901,P
2001,P
1900,P
2015,P
1910,P
1901,P
2008, 
1900,P
1901,P
1910,P
1900,P
1900,P
1900,P
1900, 
1901,P
1910,P
1920,P
1901,P
1910,P
1921,P
1900,P
2003, 
1924, 
1900, 
1900,P
1900,P
1900, 
1931, 
1900,P
1901,P
1900,P
1901,P
2006, 
1910,P
1899, 
1890,P
2003, 
1890, 
1900,P
1914,P
1910,P
1989, 
1910,P
1899,P
1920, 
1910,P
1910,P
2015,P
1910,P
1901,P
1900,P
1899,P
1900,P
1920,P
1900,P
1920,P
1900,P
1910,O
1900,P
1900,P
1900, 
2014,P
1910,P
1899,P
1910,P
1901, 
1964,O
1910,P
1900,P
1890,P
1900,P
1930,P
1910, 
1899,P
1920, 
1899, 
1920, 
1901,P
1900, 
2003, 
1900,P
1900,P
1910,P
1900,P
1900,P
1938,C
1890,P
1910,P
1900,P
1900,P
2001, 
1900,P
1901,P
2004,P
1900,P
1900,P
1900,P
1901,P
1900,P
1900,C
1985,P
1921,P
1901,P
1910,P
2001, 
1910,P
1899, 
1900, 
1915,P
1900,P
1900,P
1920,P
1900,P
1910, 
1910,P
1900,P
1900,P
1901, 
1910,P
1900,P
1900,P
1899, 
1910,P
1910, 
1913,P
1901,P
1927, 
1909,P
1899,P
1899,P
2008,P
1920,P
1900,P
1992,C
2003, 
1910,P
1920, 
2004, 
1900,P
1890,P
1900,P
1910, 
1900,P
1900,P
1901,P
1900,P
1900,P
1915,P
1926,P
1901,P
1920,P
1900,P
1900,P
1901,P
1900,P
1906,P
1900,P
1910,P
1899,P
1925,P
1911, 
1930,O
1925,P
1920,P
1930,P
1899, 
1899,P
1901,P
1900,P
1890, 
1910,P
1900,P
1910,P
1900,X
1900,P
1900,P
1915,P
1899, 
1910, 
1900,P
1904,P
1899,P
1905,P
1997,C
2003, 
2001, 
1988,P
1900,P
1899,P
1910,P
1900, 
1957,P
1920,P
1900,P
1900,P
1901,P
1900,P
1900,P
1910,P
1900,P
1910,P
1901,P
1900,P
1900,P
1900, 
1926,P
1910,C
2006, 
1901,P
1900,P
1900,P
1900,P
1900,P
1900,P
2005,P
1899,P
1900,P
1910,P
1900,P
1900,O
1890,P
1915, 
1981,P
1910,P
1910,P
1910,P
1900,P
1910,P
2010, 
1935,P
1920,P
1900,P
1900,P
1901,P
1890, 
1910,P
1899,P
1920,P
1910,P
1912,P
1910,P
1900, 
1910,P
1901, 
1900,P
1900, 
1910,P
1912,P
2014,P
1900,P
1890, 
1899,P
1899,P
1899, 
1900,P
1900,P
1900,P
1925,P
1910,P
1930,C
1899,P
1901,P
1900,P
1910,P
1910,P
1920, 
1920,P
2001, 
1899,P
1900,P
1899, 
1900,P
1930,P
1910,P
1900,P
2001,P
1920, 
1915,P
1920, 
1920, 
2001, 
1910,P
1901, 
1910,P
2007,P
1900, 
2005,P
1901,P
1910,P
2001, 
1910, 
1929,P
1899,P
1920,P
1901,P
1900,P
1900,P
1904,P
1900,P
1901, 
1900,P
1915,P
1901, 
1900, 
1910,P
1959,C
1900,P
1910,P
1901,P
1910,P
1910,P
2005, 
1920,P
1900,P
1969,X
1910,P
1900,P
1905,P
1900,P
1890,P
1920,P
1900,P
1900,P
1910,P
1900,P
1900,P
1900,P
1900,P
1901,P
1920, 
1900, 
1910,P
1899,P
1911,P
1910,C
2011, 
1904,P
1901,P
1900,P
1910,P
1899,P
1900, 
1901,P
1890, 
1910, 
1900,P
1900, 
1910, 
1910,P
1900, 
1899,P
1910,P
1910,P
1900,P
1899, 
1910,P
1900, 
2007, 
1901, 
1900,P
1900,P
2007, 
1900, 
1900,P
1920, 
1899, 
1920,P
1910,P
1900,P
1901,P
1900,P
1901,P
1915,P
1910,P
1900,P
1910,C
1989,P
1920,P
